"","Subject","Order","Group","Condition","Section","Num_Error","Coder","trial","num","Lex_Error","Plural_Error","Type","Target","row","Age_Y","Age_Group"
"1","12",1,"A","NA","singular","NA",1,1,"1","no","no","RS","turtle",1,3.34,"3"
"2","12",1,"A","NA","singular","NA",1,2,"1","no","no","IS","mouse",2,3.34,"3"
"3","12",1,"A","NA","singular","NA",1,3,"1","no","no","RS","pig",3,3.34,"3"
"4","12",1,"A","NA","singular","NA",1,4,"1","no","no","IS","foot",4,3.34,"3"
"5","12",1,"A","NA","singular","NA",1,5,"1","no","no","RS","car",5,3.34,"3"
"6","12",1,"A","NA","singular","NA",1,6,"1","no","no","RS","frog",6,3.34,"3"
"7","12",1,"A","NA","singular","NA",1,7,"1","no","no","RS","shoe",7,3.34,"3"
"8","12",1,"A","NA","singular","NA",1,8,"1","no","no","RS","dog",8,3.34,"3"
"9","12",1,"A","NA","singular","NA",1,9,"1","no","no","IS","tooth",9,3.34,"3"
"10","12",1,"A","NA","singular","NA",1,10,"1","no","no","IS","child",10,3.34,"3"
"11","12",1,"A","NA","singular","NA",1,11,"1","no","no","RS","spoon",11,3.34,"3"
"12","12",1,"A","NA","singular","NA",1,12,"1","no","no","IS","snowman",12,3.34,"3"
"13","12",1,"A","NA","singular","NA",1,13,"1","no","no","RS","apple",13,3.34,"3"
"14","12",1,"A","NA","singular","NA",1,14,"1","no","no","IS","woman",14,3.34,"3"
"15","12",1,"A","NA","singular","NA",1,15,"1","no","no","IS","goose",15,3.34,"3"
"16","12",1,"A","NA","singular","NA",1,16,"1","no","no","RS","tree",16,3.34,"3"
"17","12",1,"A","NA","singular","NA",1,17,"1","no","no","IS","man",17,3.34,"3"
"18","12",1,"A","NA","singular","NA",1,18,"1","no","no","RS","snake",18,3.34,"3"
"19","12",1,"A","NA","singular","NA",1,19,"1","no","no","RS","book",19,3.34,"3"
"20","12",1,"A","NA","singular","NA",1,20,"1","no","no","RS","fork",20,3.34,"3"
"21","12",1,"A","NA","singular","NA",1,21,"1","no","no","RS","cat",21,3.34,"3"
"22","12",1,"A","NA","pre","no",1,22,"1","yes","NA","RP","frogs",22,3.34,"3"
"23","12",1,"A","Repetition","pre","no",1,23,"1","no","no","IP","feet",23,3.34,"3"
"24","12",1,"A","NA","pre","no",1,24,"1","no","no","RP","cats",24,3.34,"3"
"25","12",1,"A","Repetition","pre","no",1,25,"1","no","no","IP","mice",25,3.34,"3"
"26","12",1,"A","Reformulation","pre","yes",1,26,"1","yes","no","IP","women",26,3.34,"3"
"27","12",1,"A","Reformulation","pre","no",1,27,"1","yes","no","IP","men",27,3.34,"3"
"28","12",1,"A","NA","pre","no",1,28,"1","yes","no","RP","dogs",28,3.34,"3"
"29","12",1,"A","Reformulation","pre","no",1,29,"1","yes","no","IP","children",29,3.34,"3"
"30","12",1,"A","Repetition","pre","no",1,30,"1","no","yes","IP","snowmen",30,3.34,"3"
"31","12",1,"A","NA","pre","no",1,31,"1","yes","no","RP","snakes",31,3.34,"3"
"32","12",1,"A","NA","pre","no",1,32,"1","no","no","RP","pigs",32,3.34,"3"
"33","12",1,"A","NA","pre","no",1,33,"1","no","no","RP","forks",33,3.34,"3"
"34","12",1,"A","NA","pre","no",1,34,"1","no","no","RP","turtles",34,3.34,"3"
"35","12",1,"A","NA","pre","no",1,35,"1","no","no","RP","spoons",35,3.34,"3"
"36","12",1,"A","Reformulation","pre","no",1,36,"1","no","yes","IP","geese",36,3.34,"3"
"37","12",1,"A","Repetition","pre","no",1,37,"1","no","yes","IP","teeth",37,3.34,"3"
"38","12",1,"A","Repetition","trial1","NA",1,38,"1","no","no","RP","cats",38,3.34,"3"
"39","12",1,"A","Repetition","trial1","NA",1,38,"2","NA","NA","IP","feet",39,3.34,"3"
"40","12",1,"A","Repetition","trial1","NA",1,39,"1","no","no","RP","spoons",40,3.34,"3"
"41","12",1,"A","Repetition","trial1","NA",1,39,"2","no","no","IP","mice",41,3.34,"3"
"42","12",1,"A","Reformulation","trial1","NA",1,40,"1","no","no","RP","apples",42,3.34,"3"
"43","12",1,"A","Reformulation","trial1","NA",1,40,"2","no","no","RP","cars",43,3.34,"3"
"44","12",1,"A","Reformulation","trial1","NA",1,41,"1","no","no","RP","pigs",44,3.34,"3"
"45","12",1,"A","Reformulation","trial1","NA",1,41,"2","no","yes","IP","children",45,3.34,"3"
"46","12",1,"A","Reformulation","trial1","NA",1,42,"1","yes","no","RP","snakes",46,3.34,"3"
"47","12",1,"A","Reformulation","trial1","NA",1,42,"2","no","yes","IP","men",47,3.34,"3"
"48","12",1,"A","Repetition","trial1","NA",1,43,"1","no","no","RP","turtles",48,3.34,"3"
"49","12",1,"A","Repetition","trial1","NA",1,43,"2","no","NA","IP","snowmen",49,3.34,"3"
"50","12",1,"A","Repetition","trial1","NA",1,44,"1","no","no","RP","trees",50,3.34,"3"
"51","12",1,"A","Repetition","trial1","NA",1,44,"2","no","no","RP","books",51,3.34,"3"
"52","12",1,"A","Reformulation","trial1","NA",1,45,"1","no","no","RP","frogs",52,3.34,"3"
"53","12",1,"A","Reformulation","trial1","NA",1,45,"2","no","yes","IP","women",53,3.34,"3"
"54","12",1,"A","Repetition","trial1","NA",1,46,"1","no","no","RP","forks",54,3.34,"3"
"55","12",1,"A","Repetition","trial1","NA",1,46,"2","no","yes","IP","teeth",55,3.34,"3"
"56","12",1,"A","Reformulation","trial1","NA",1,47,"1","yes","no","RP","dogs",56,3.34,"3"
"57","12",1,"A","Reformulation","trial1","NA",1,47,"2","no","yes","IP","geese",57,3.34,"3"
"58","12",1,"A","Reformulation","trial2","NA",1,48,"1","yes","no","RP","dogs",58,3.34,"3"
"59","12",1,"A","Reformulation","trial2","NA",1,48,"2","no","yes","IP","children",59,3.34,"3"
"60","12",1,"A","Repetition","trial2","NA",1,49,"1","no","no","RP","pigs",60,3.34,"3"
"61","12",1,"A","Repetition","trial2","NA",1,49,"2","NA","NA","IP","teeth",61,3.34,"3"
"62","12",1,"A","Repetition","trial2","NA",1,50,"1","no","no","RP","frogs",62,3.34,"3"
"63","12",1,"A","Repetition","trial2","NA",1,50,"2","no","no","IP","mice",63,3.34,"3"
"64","12",1,"A","Reformulation","trial2","NA",1,51,"1","no","no","RP","books",64,3.34,"3"
"65","12",1,"A","Reformulation","trial2","NA",1,51,"2","yes","no","RP","cars",65,3.34,"3"
"66","12",1,"A","Reformulation","trial2","NA",1,52,"1","no","no","RP","cats",66,3.34,"3"
"67","12",1,"A","Reformulation","trial2","NA",1,52,"2","no","yes","IP","women",67,3.34,"3"
"68","12",1,"A","Repetition","trial2","NA",1,53,"1","yes","no","RP","snakes",68,3.34,"3"
"69","12",1,"A","Repetition","trial2","NA",1,53,"2","no","no","IP","feet",69,3.34,"3"
"70","12",1,"A","Repetition","trial2","NA",1,54,"1","no","no","RP","apples",70,3.34,"3"
"71","12",1,"A","Repetition","trial2","NA",1,54,"2","no","no","RP","shoes",71,3.34,"3"
"72","12",1,"A","Reformulation","trial2","NA",1,55,"1","no","no","RP","forks",72,3.34,"3"
"73","12",1,"A","Reformulation","trial2","NA",1,55,"2","yes","yes","IP","men",73,3.34,"3"
"74","12",1,"A","Repetition","trial2","NA",1,56,"1","no","no","RP","turtles",74,3.34,"3"
"75","12",1,"A","Repetition","trial2","NA",1,56,"2","no","yes","IP","snowmen",75,3.34,"3"
"76","12",1,"A","Reformulation","trial2","NA",1,57,"1","no","no","RP","spoons",76,3.34,"3"
"77","12",1,"A","Reformulation","trial2","NA",1,57,"2","no","yes","IP","geese",77,3.34,"3"
"78","12",1,"A","NA","post","no",1,58,"1","no","no","RP","snakes",78,3.34,"3"
"79","12",1,"A","Reformulation","post","no",1,59,"1","no","yes","IP","children",79,3.34,"3"
"80","12",1,"A","Repetition","post","no",1,60,"1","no","no","IP","feet",80,3.34,"3"
"81","12",1,"A","NA","post","no",1,61,"1","no","no","RP","cats",81,3.34,"3"
"82","12",1,"A","Reformulation","post","no",1,62,"1","yes","yes","IP","women",82,3.34,"3"
"83","12",1,"A","NA","post","no",1,63,"1","yes","no","RP","dogs",83,3.34,"3"
"84","12",1,"A","Repetition","post","no",1,64,"1","no","no","RP","mice",84,3.34,"3"
"85","12",1,"A","Repetition","post","no",1,65,"1","no","yes","IP","snowmen",85,3.34,"3"
"86","12",1,"A","NA","post","no",1,66,"1","no","no","RP","pigs",86,3.34,"3"
"87","12",1,"A","Reformulation","post","no",1,67,"1","no","yes","IP","geese",87,3.34,"3"
"88","12",1,"A","Repetition","post","no",1,68,"1","no","yes","IP","teeth",88,3.34,"3"
"89","12",1,"A","NA","post","no",1,69,"1","no","no","RP","spoons",89,3.34,"3"
"90","12",1,"A","Reformulation","post","no",1,70,"1","no","yes","IP","men",90,3.34,"3"
"91","19",1,"A","NA","singular","NA",1,1,"1","no","no","RS","turtle",1,4.98,"4"
"92","19",1,"A","NA","singular","NA",1,2,"1","no","no","IS","mouse",2,4.98,"4"
"93","19",1,"A","NA","singular","NA",1,3,"1","no","no","RS","pig",3,4.98,"4"
"94","19",1,"A","NA","singular","NA",1,4,"1","no","no","IS","foot",4,4.98,"4"
"95","19",1,"A","NA","singular","NA",1,5,"1","no","no","RS","car",5,4.98,"4"
"96","19",1,"A","NA","singular","NA",1,6,"1","no","no","RS","frog",6,4.98,"4"
"97","19",1,"A","NA","singular","NA",1,7,"1","no","no","RS","shoe",7,4.98,"4"
"98","19",1,"A","NA","singular","NA",1,8,"1","no","no","RS","dog",8,4.98,"4"
"99","19",1,"A","NA","singular","NA",1,9,"1","no","no","IS","tooth",9,4.98,"4"
"100","19",1,"A","NA","singular","NA",1,10,"1","no","no","IS","child",10,4.98,"4"
"101","19",1,"A","NA","singular","NA",1,11,"1","no","no","RS","spoon",11,4.98,"4"
"102","19",1,"A","NA","singular","NA",1,12,"1","no","no","IS","snowman",12,4.98,"4"
"103","19",1,"A","NA","singular","NA",1,13,"1","no","no","RS","apple",13,4.98,"4"
"104","19",1,"A","NA","singular","NA",1,14,"1","no","no","IS","woman",14,4.98,"4"
"105","19",1,"A","NA","singular","NA",1,15,"1","no","no","IS","goose",15,4.98,"4"
"106","19",1,"A","NA","singular","NA",1,16,"1","no","no","RS","tree",16,4.98,"4"
"107","19",1,"A","NA","singular","NA",1,17,"1","no","no","IS","man",17,4.98,"4"
"108","19",1,"A","NA","singular","NA",1,18,"1","no","no","RS","snake",18,4.98,"4"
"109","19",1,"A","NA","singular","NA",1,19,"1","no","no","RS","book",19,4.98,"4"
"110","19",1,"A","NA","singular","NA",1,20,"1","no","no","RS","fork",20,4.98,"4"
"111","19",1,"A","NA","singular","NA",1,21,"1","yes","no","RS","cat",21,4.98,"4"
"112","19",1,"A","NA","pre","no",1,22,"1","no","no","RP","frogs",22,4.98,"4"
"113","19",1,"A","Repetition","pre","no",1,23,"1","no","no","IP","feet",23,4.98,"4"
"114","19",1,"A","NA","pre","no",1,24,"1","yes","no","RP","cats",24,4.98,"4"
"115","19",1,"A","Repetition","pre","no",1,25,"1","no","yes","IP","mice",25,4.98,"4"
"116","19",1,"A","Reformulation","pre","no",1,26,"1","no","yes","IP","women",26,4.98,"4"
"117","19",1,"A","Reformulation","pre","no",1,27,"1","no","no","IP","men",27,4.98,"4"
"118","19",1,"A","NA","pre","no",1,28,"1","no","no","RP","dogs",28,4.98,"4"
"119","19",1,"A","Reformulation","pre","no",1,29,"1","no","yes","IP","children",29,4.98,"4"
"120","19",1,"A","Repetition","pre","no",1,30,"1","no","yes","IP","snowmen",30,4.98,"4"
"121","19",1,"A","NA","pre","no",1,31,"1","no","no","RP","snakes",31,4.98,"4"
"122","19",1,"A","NA","pre","no",1,32,"1","no","no","RP","pigs",32,4.98,"4"
"123","19",1,"A","NA","pre","no",1,33,"1","no","no","RP","forks",33,4.98,"4"
"124","19",1,"A","NA","pre","no",1,34,"1","no","no","RP","turtles",34,4.98,"4"
"125","19",1,"A","NA","pre","no",1,35,"1","no","no","RP","spoons",35,4.98,"4"
"126","19",1,"A","Reformulation","pre","no",1,36,"1","no","no","IP","geese",36,4.98,"4"
"127","19",1,"A","Repetition","pre","no",1,37,"1","no","yes","IP","teeth",37,4.98,"4"
"128","19",1,"A","Repetition","trial1","NA",1,38,"1","no","no","RP","cats",38,4.98,"4"
"129","19",1,"A","Repetition","trial1","NA",1,38,"2","no","no","IP","feet",39,4.98,"4"
"130","19",1,"A","Repetition","trial1","NA",1,39,"1","no","no","RP","spoons",40,4.98,"4"
"131","19",1,"A","Repetition","trial1","NA",1,39,"2","no","no","IP","mice",41,4.98,"4"
"132","19",1,"A","Reformulation","trial1","NA",1,40,"1","no","no","RP","apples",42,4.98,"4"
"133","19",1,"A","Reformulation","trial1","NA",1,40,"2","no","no","RP","cars",43,4.98,"4"
